date,open,high,low,close,volume
1981-09-11,0.0684,0.0684,0.0680,0.0680,17539200
1981-09-14,0.0663,0.0663,0.0658,0.0658,27686400
1981-09-15,0.0645,0.0645,0.0641,0.0641,19510400
1981-09-16,0.0632,0.0632,0.0628,0.0628,19353600
1981-09-17,0.0615,0.0615,0.0610,0.0610,19376000
1981-09-18,0.0615,0.0619,0.0615,0.0615,26320000
1981-09-21,0.0619,0.0623,0.0619,0.0619,49033600
1981-09-22,0.0589,0.0589,0.0585,0.0585,47420800
1981-09-23,0.0580,0.0580,0.0571,0.0571,28201600
1981-09-24,0.0571,0.0571,0.0567,0.0567,18300800
1981-09-25,0.0502,0.0502,0.0494,0.0494,34608000
1981-09-28,0.0498,0.0502,0.0498,0.0498,91728000
1981-09-29,0.0524,0.0528,0.0524,0.0524,94684800
1981-09-30,0.0528,0.0532,0.0528,0.0528,49996800
1981-10-01,0.0528,0.0532,0.0528,0.0528,61129600
1981-10-02,0.0571,0.0576,0.0571,0.0571,45046400
1981-10-05,0.0589,0.0597,0.0589,0.0589,43097600
1981-10-06,0.0589,0.0589,0.0585,0.0585,28358400
1981-10-07,0.0619,0.0628,0.0619,0.0619,38841600
1981-10-08,0.0641,0.0645,0.0641,0.0641,31091200
1981-10-09,0.0645,0.0654,0.0645,0.0645,54521600
1981-10-12,0.0667,0.0671,0.0667,0.0667,27350400
1981-10-13,0.0667,0.0675,0.0667,0.0667,44195200
1981-10-14,0.0632,0.0632,0.0628,0.0628,30979200
1981-10-15,0.0641,0.0645,0.0641,0.0641,29433600
1981-10-16,0.0636,0.0636,0.0632,0.0632,36467200
1981-10-19,0.0645,0.0649,0.0645,0.0645,20585600
1981-10-20,0.0680,0.0684,0.0680,0.0680,35728000
1981-10-21,0.0680,0.0684,0.0680,0.0680,76899200
1981-10-22,0.0680,0.0680,0.0675,0.0675,32278400
1981-10-23,0.0663,0.0663,0.0658,0.0658,27910400
1981-10-26,0.0658,0.0663,0.0658,0.0658,27283200
1981-10-27,0.0671,0.0680,0.0671,0.0671,85590400
1981-10-28,0.0693,0.0697,0.0693,0.0693,44172800
1981-10-29,0.0688,0.0688,0.0684,0.0684,30486400
1981-10-30,0.0693,0.0697,0.0693,0.0693,52729600
1981-11-02,0.0693,0.0697,0.0693,0.0693,36915200
